t_video_sec,time_str_primary,speed_kmh,altitude_km,acceleration_g
602.6021710659257,00:02:07,5493.0,41.6,3.5
603.6031713500884,00:02:08,5594.0,42.3,3.5
604.6041716342511,00:02:09,,43.1,3.5
605.6051719184137,00:02:10,5309.0,43.9,3.6
606.6061722025764,00:02:11,5917.0,44.7,3.7
607.607172486739,00:02:12,6029.0,45.5,3.7
608.6081727709017,00:02:13,6142.0,46.4,
609.6091730550644,00:02:14,6256.0,47.2,
610.610173339227,00:02:15,6337.0,48.0,3.8
611.6111736233897,00:02:16,6489.0,48.9,
612.6121739075523,00:02:17,6603.0,49.7,3.7
613.6131741917151,00:02:18,,,3.7
614.6141744758777,00:02:19,6842.0,,3.7
615.6151747600404,00:02:20,6957.0,52.4,3.8
616.616175044203,,,53.3,3.8
617.6171753283658,00:02:22,7192.0,,
618.6181756125284,00:02:23,7311.0,,3.8
619.6191758966911,00:02:24,7430.0,58.0,3.8
620.6201761808537,00:02:25,7549.0,58.9,
621.6211764650163,00:02:26,664.0,,3.1
622.6221767491791,00:02:27,54.0,,0.8
623.6231770333417,00:02:28,7792.0,59.7,0.1
